asin,predicted_tags
B0C87WK67Z,"['board', 'cardgame', 'strategic']"
B07TMNK32T,"['cardgame', 'kid-friendly', 'strategic']"
B0CT41NF3V,"['board', 'cardgame', 'horror']"
B0DD615TZK,"['board', 'cardgame', 'strategic']"
B0CYJ85VRH,"['board', 'cardgame', 'strategic']"
9189143248,"['board', 'rpg', 'strategic']"
918914340X,"['board', 'cardgame', 'strategic']"
9189765435,"['board', 'cardgame', 'strategic']"
9189765060,"['cardgame', 'party', 'strategic']"
B0BGMHFCZJ,"['cardgame', 'kid-friendly', 'strategic']"
1957311177,"['cardgame', 'miniatures', 'rpg']"
B0C9RQM7X1,"['board', 'cardgame', 'rpg']"
B0CKTMD1DY,"['cardgame', 'miniatures', 'sci-fi']"
1638841365,"['cardgame', 'miniatures', 'sci-fi']"
1638842108,"['cardgame', 'miniatures', 'sci-fi']"
B000063KC8,"['cardgame', 'kid-friendly', 'strategic']"
B007VQL6F4,"['board', 'cardgame', 'strategic']"
B0DSG1Y1JK,"['cardgame', 'miniatures', 'rpg']"
B0C83P82KW,"['cardgame', 'kid-friendly', 'strategic']"
B0CGY4YHFR,"['cardgame', 'humor', 'party']"
B0D6WZRFLK,"['board', 'cardgame', 'kid-friendly']"
B086Y9569P,"['board', 'kid-friendly', 'strategic']"
B00UB7OV7K,"['cardgame', 'dice', 'strategic']"
B00UB7OV7K,"['cardgame', 'dice', 'strategic']"
B0CMXN1SXH,"['cardgame', 'party', 'strategic']"
B07KWHQ7VZ,"['cardgame', 'humor', 'party']"
B0854G9JB5,"['cardgame', 'humor', 'party']"
B08QSMHD6L,"['cardgame', 'classic', 'party']"
B0CWRLGD9L,"['cardgame', 'kid-friendly', 'strategic']"
B08HJDML1G,"['cardgame', 'party', 'strategic']"
B07D6FBZTV,"['cardgame', 'humor', 'party']"
B0BX9RT1JR,"['board', 'cardgame', 'kid-friendly']"
B07S45ZS2W,"['cardgame', 'rpg', 'sci-fi']"
B0CSLVLQP7,"['board', 'cardgame', 'strategic']"
B076H6KJDD,"['contest', 'kid-friendly', 'strategic']"
B07S1PYYTV,"['cardgame', 'humor', 'party']"
B0CQR53FTD,"['cardgame', 'kid-friendly', 'strategic']"
B0DP5SBZ1V,"['board', 'cardgame', 'strategic']"
B0077Q0NP2,"['cardgame', 'humor', 'party']"
B00CK1EJG8,"['cardgame', 'party', 'strategic']"
B0CWJB3VM7,"['board', 'cardgame', 'strategic']"
B083B677V7,"['board', 'rpg', 'strategic']"
B00S732WJE,"['board', 'cardgame', 'strategic']"
B0CLB27S7K,"['cardgame', 'party', 'strategic']"
B08QPN6KGH,"['cardgame', 'kid-friendly', 'strategic']"
B0CZPNX6WH,"['cardgame', 'humor', 'strategic']"
B08TQ4QD9B,"['board', 'cute', 'kid-friendly']"
B0CS17HRMG,"['board', 'cardgame', 'kid-friendly']"
B08TPDFW51,"['board', 'kid-friendly', 'strategic']"
B08Q4J1XHZ,"['board', 'miniatures', 'rpg']"
B06Y1N3PTX,"['board', 'kid-friendly', 'strategic']"
B09JDMZ8X4,"['board', 'kid-friendly', 'strategic']"
B0D19HPGY5,"['creative', 'cute', 'kid-friendly']"
B0D19HPGY5,"['creative', 'cute', 'kid-friendly']"
B00SDJG51S,"['board', 'creative', 'kid-friendly']"
B00SDJG51S,"['board', 'creative', 'kid-friendly']"
B00000DMF5,"['board', 'cardgame', 'kid-friendly']"
B00000DMF6,"['board', 'kid-friendly', 'puzzle']"
B08TPSKX97,"['board', 'kid-friendly', 'rpg']"
B016LBWYTQ,"['board', 'kid-friendly', 'strategic']"
B0B5FLTTT5,"['board', 'kid-friendly', 'strategic']"
B09HX46VDG,"['board', 'kid-friendly', 'strategic']"
B09HWSVQG9,"['board', 'cardgame', 'kid-friendly']"
B07BMJPPXV,"['cardgame', 'kid-friendly', 'party']"
B07RTZBP93,"['board', 'cardgame', 'kid-friendly']"
B00D8STBHY,"['board', 'classic', 'kid-friendly']"
B08TPXXCPL,"['board', 'cardgame', 'kid-friendly']"
B09NRSY5YT,"['board', 'kid-friendly', 'strategic']"
B06XY881H4,"['cardgame', 'humor', 'party']"
B06XY881H4,"['board', 'cardgame', 'kid-friendly']"
B08TPM1TLR,"['board', 'cardgame', 'kid-friendly']"
B00NQQTZBA,"['cardgame', 'kid-friendly', 'strategic']"
B01MS6B7BV,"['board', 'cardgame', 'kid-friendly']"
B08TQ9X8YQ,"['board', 'cute', 'kid-friendly']"
B0B5FLMBQ3,"['board', 'cardgame', 'rpg']"
B0C3DS2S9H,"['board', 'kid-friendly', 'strategic']"
B0CS4V7R6B,"['board', 'cardgame', 'kid-friendly']"
B0BFG3GL1D,"['board', 'kid-friendly', 'strategic']"
B07MWJ699K,"['board', 'cardgame', 'kid-friendly']"
B01H0CZ7BW,"['board', 'kid-friendly', 'strategic']"
B08MVWB4SC,"['board', 'cardgame', 'kid-friendly']"
B00000IWGQ,"['board', 'kid-friendly', 'strategic']"
B08TQ26F1R,"['board', 'cute', 'kid-friendly']"
B000GBA60W,"['board', 'cardgame', 'kid-friendly']"
B09R41HWR6,"['board', 'kid-friendly', 'resource-management']"
B09NB1DPTC,"['board', 'cute', 'kid-friendly']"
B00000DMFD,"['board', 'kid-friendly', 'strategic']"
B01JF1VRL0,"['board', 'classic', 'kid-friendly']"
B00CXEXSUU,"['board', 'cardgame', 'kid-friendly']"
B08DG67ZPG,"['board', 'cardgame', 'kid-friendly']"
B07MMP11S1,"['board', 'cardgame', 'kid-friendly']"
B08DG4HW31,"['board', 'kid-friendly', 'strategic']"
B013TO5PDU,"['cardgame', 'kid-friendly', 'rpg']"
B01C3IMJNC,"['board', 'kid-friendly', 'puzzle']"
B0BDGSMM7Z,"['board', 'cardgame', 'strategic']"
B0BFG4JVC5,"['board', 'cardgame', 'party']"
B09D44JH4S,"['board', 'kid-friendly', 'puzzle']"
B00JMCJGZC,"['board', 'puzzle', 'strategic']"
B00IFWSO94,"['board', 'kid-friendly', 'puzzle']"
B00N4OP3OW,"['board', 'cardgame', 'kid-friendly']"
B0B3FXMB7Q,"['board', 'cardgame', 'kid-friendly']"
B06XYL6Y5C,"['cardgame', 'kid-friendly', 'party']"
B0C4CDZ818,"['board', 'cardgame', 'kid-friendly']"
B06XY48MK1,"['cardgame', 'classic', 'kid-friendly']"
B08CZXWKPX,"['board', 'cute', 'kid-friendly']"
B00D7OAOYI,"['board', 'classic', 'kid-friendly']"
B0BFG1SMWF,"['board', 'cardgame', 'kid-friendly']"
B01ALHAEWA,"['board', 'cardgame', 'kid-friendly']"
B0B5FLNCK9,"['board', 'cardgame', 'kid-friendly']"
B0BCH8ZXTJ,"['board', 'cardgame', 'kid-friendly']"
B008J87PVC,"['board', 'kid-friendly', 'party']"
B085JYYWJV,"['board', 'cardgame', 'strategic']"
B0CGC9RLXV,"['cardgame', 'humor', 'party']"
B084D2XQ9F,"['board', 'cardgame', 'strategic']"
B0C3DNT9W3,"['board', 'cute', 'kid-friendly']"
B01F46RPS4,"['board', 'cardgame', 'rpg']"
B01DCGBMPU,"['board', 'cardgame', 'strategic']"
B07QSCQMXV,"['cardgame', 'party', 'strategic']"
B0BWS9R9TZ,"['board', 'cardgame', 'strategic']"
B00000IVFX,"['board', 'cardgame', 'combinatorial']"
B00000IV4A,"['board', 'cardgame', 'strategic']"
B00ABA0ZOA,"['combinatorial', 'kid-friendly', 'puzzle']"
B00ABA0ZOA,"['combinatorial', 'kid-friendly', 'puzzle']"
B0D6WB39QC,"['board', 'cardgame', 'strategic']"
B097CBXLG1,"['cardgame', 'party', 'strategic']"
B0D56K11PK,"['cardgame', 'humor', 'party']"
B01819WCK2,"['board', 'cardgame', 'strategic']"
B008UEGQPG,"['board', 'cardgame', 'strategic']"
B0D6F8GQWK,"['cardgame', 'kid-friendly', 'strategic']"
B0BGWYZDB3,"['board', 'cardgame', 'strategic']"
B0D324CJ5J,"['board', 'cardgame', 'strategic']"
B09J7WZK55,"['board', 'cardgame', 'strategic']"
B0B5VXSQ1J,"['cardgame', 'kid-friendly', 'strategic']"
B0B5VXSQ1J,"['cardgame', 'kid-friendly', 'strategic']"
B0CTKR7JSK,"['cardgame', 'kid-friendly', 'strategic']"
B0D9KRWJWH,"['cardgame', 'party', 'strategic']"
B0CRYJW9Y8,"['board', 'cardgame', 'strategic']"
B07F454YF3,"['cardgame', 'party', 'strategic']"
B07F454YF3,"['cardgame', 'party', 'strategic']"
B0DBB782TS,"['cardgame', 'kid-friendly', 'strategic']"
B075B1XG1N,"['board', 'cardgame', 'rpg']"
B002SRSN70,"['cardgame', 'party', 'strategic']"
B00004YO0Y,"['contest', 'dice', 'kid-friendly']"
B0CNQ84PX4,"['cardgame', 'humor', 'party']"
B0DB2VDYWJ,"['cardgame', 'party', 'strategic']"
B0CDCF1G9N,"['board', 'cardgame', 'rpg']"
B07KLWPHFF,"['board', 'cardgame', 'strategic']"
B0CWVMNNFV,"['cardgame', 'kid-friendly', 'strategic']"
B0CTD1K8SF,"['cardgame', 'humor', 'party']"
B0DPKMJ99H,"['cardgame', 'party', 'strategic']"
B0BXBJ3R5R,"['cardgame', 'rpg', 'strategic']"
1988943175,"['board', 'cardgame', 'rpg']"
B09J1W44KN,"['cardgame', 'humor', 'party']"
B0CKX86HMS,"['board', 'cardgame', 'strategic']"
B0851WWMWV,"['cardgame', 'miniatures', 'rpg']"
B07G4LWMF3,"['board', 'kid-friendly', 'strategic']"
B0BZQ83KYR,"['board', 'cardgame', 'sci-fi']"
B0DDQF74H3,"['board', 'sci-fi', 'strategic']"
B0B1DMNRY3,"['party', 'sci-fi', 'strategic']"
B079TCL3J4,"['board', 'kid-friendly', 'strategic']"
B07Y94Y3JL,"['cardgame', 'kid-friendly', 'strategic']"
B001P06GXY,"['board', 'cardgame', 'strategic']"
B001P06GX4,"['board', 'kid-friendly', 'strategic']"
B001P06GX4,"['board', 'kid-friendly', 'strategic']"
B0CPKG6RK8,"['board', 'cardgame', 'kid-friendly']"
B07Y98T14Q,"['cardgame', 'kid-friendly', 'strategic']"
B07STLTFHG,"['cardgame', 'kid-friendly', 'strategic']"
B075YYPTSM,"['board', 'cardgame', 'strategic']"
B08GLK316Z,"['board', 'cardgame', 'kid-friendly']"
B07P6MZPK3,"['cardgame', 'kid-friendly', 'strategic']"
B07P6MZPK3,"['cardgame', 'kid-friendly', 'strategic']"
B00004TZY8,"['cardgame', 'kid-friendly', 'strategic']"
B0CBT2N7N1,"['cardgame', 'kid-friendly', 'strategic']"
B00006YYY5,"['board', 'cardgame', 'strategic']"
B0000205X3,"['cardgame', 'kid-friendly', 'strategic']"
B087YGCH31,"['cardgame', 'humor', 'party']"
B007EA4UBY,"['board', 'contest', 'kid-friendly']"
B0DFDJCRR5,"['board', 'cardgame', 'strategic']"
B005PGA518,"['cardgame', 'party', 'strategic']"
B0BNJ1LFPG,"['cardgame', 'kid-friendly', 'strategic']"
B009TNOF9G,"['board', 'cardgame', 'strategic']"
B08NYLGBTX,"['board', 'cardgame', 'strategic']"
B088B8MJLF,"['cardgame', 'kid-friendly', 'rpg']"
B089TS16WM,"['board', 'cardgame', 'strategic']"
B0C382GMPC,"['board', 'cardgame', 'strategic']"
B0CYC1SVGS,"['cardgame', 'party', 'strategic']"
B0BGM11ZT1,"['cardgame', 'rpg', 'strategic']"
B0B7CR2RJW,"['board', 'cardgame', 'rpg']"
1912743930,"['board', 'cardgame', 'rpg']"
180281180X,"['board', 'cardgame', 'miniatures']"
1802810676,"['board', 'cardgame', 'rpg']"
1802814213,"['board', 'cardgame', 'rpg']"
180281079X,"['board', 'cardgame', 'strategic']"
1802810552,"['board', 'cardgame', 'rpg']"
B0CZVPLJFY,"['board', 'combinatorial', 'kid-friendly']"
B0001VVQ3I,"['board', 'cardgame', 'kid-friendly']"
